truncate,Year,Price_Level,Like,textsm__divcontains_class_truncate,Price,Mileage,Discount,Certification,Color,Circumstance
Ford Edge,2018,Fair Price,SE FWD,$182 above avg. list price,"$21,998 ","28,190 miles",,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Tesla Model S,2013,High Price,Standard RWD,"$2,084 above avg. list price","$36,994 ","52,212 miles",,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Nissan Rogue,2016,High Price,S FWD,$272 above avg. list price,"$14,588 ","99,060 miles",,,"Gray exterior, Gray interior","No accidents, 0 Owners, Personal use"
Mercedes-Benz E-Class,2020,Fair Price,E 450 Sedan 4MATIC,At or near avg. list price,"$49,894 ","45,176 miles",,Certified Pre-Owned,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Toyota Tundra,2010,Fair Price,Double Cab 6.5' Bed 5.7L V8 RWD,At or near avg. list price,"$21,493 ","66,454 miles",,,"Tan exterior, Black interior","No accidents, 2 Owners, Personal use"
Honda Civic,2019,Fair Price,EX-L Sedan CVT,$69 above avg. list price,"$26,981 ","11,762 miles",,Certified Pre-Owned,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Rivian R1T,2022,High Price,Launch Edition,"$2,372 above avg. list price","$113,988 ","1,031 miles",Dealer Discount Available,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Toyota FJ Cruiser,2012,High Price,4WD Automatic,"$1,021 above avg. list price","$33,935 ","82,154 miles",,,"Silver exterior, Black interior","No accidents, 2 Owners, Fleet use"
Jeep Grand Cherokee,2018,High Price,High Altitude 4WD,$554 above avg. list price,"$34,998 ","47,911 miles",,,"Silver exterior, Black interior","No accidents, 2 Owners, Personal use"
Chevrolet Equinox,2022,,LS with 1LS FWD,,,"5,879 miles",,,"Blue exterior, Gray interior","No accidents, 1 Owner, Personal use"
Acura RDX,2022,Fair Price,FWD with Technology Package,At or near avg. list price,"$40,494 ","24,075 miles",,Certified Pre-Owned,"Blue exterior, Gray interior","No accidents, 1 Owner, Personal use"
BMW M4,2022,Fair Price,Competition Coupe RWD,At or near avg. list price,"$85,998 ","5,140 miles",,,"Black exterior, Blue interior","No accidents, 1 Owner, Personal use"
Dodge Durango,2022,Fair Price,GT Plus AWD,$180 above avg. list price,"$44,988 ","8,275 miles",Dealer Discount Available,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Kia Niro EV,2020,High Price,EX Premium,$619 above avg. list price,"$39,888 ","16,313 miles",Dealer Discount Available,,"Red exterior, Black interior","No accidents, 2 Owners, Personal use"
Nissan Rogue,2021,Fair Price,SV FWD,At or near avg. list price,"$25,995 ","41,812 miles",Dealer Discount Available,,"Blue exterior, Black interior","No accidents, 1 Owner, Personal use"
Chevrolet Volt,2014,High Price,Hatch,$581 above avg. list price,"$17,888 ","59,596 miles",,,"Black exterior, Black interior","No accidents, 3 Owners, Fleet use"
Dodge Grand Caravan,2019,Fair Price,GT,At or near avg. list price,"$18,899 ","51,609 miles",,,"Silver exterior, Black interior","No accidents, 2 Owners, Personal use"
Ram Dakota,2011,Fair Price,Bighorn/Lonestar Extended Cab 2WD,$214 above avg. list price,"$14,997 ","96,671 miles",Dealer Discount Available,,"White exterior, Gray interior","No accidents, 2 Owners, Personal use"
Volkswagen Golf GTI,2015,High Price,SE with Performance Package 2-door DSG,$229 above avg. list price,"$15,250 ","111,081 miles",,,"White exterior, Black interior","No accidents, 2 Owners, Personal use"
Nissan 350Z,2008,Fair Price,Enthusiast Coupe Auto,$132 above avg. list price,"$13,497 ","124,979 miles",,,"Silver exterior, Unknown interior","No accidents, 3 Owners, Personal use"
Toyota Tacoma,2012,Fair Price,PreRunner Access Cab 6.1' Bed V6 RWD Automatic,$236 above avg. list price,"$17,476 ","165,475 miles",,,"Silver exterior, Gray interior","No accidents, 2 Owners, Personal use"
BMW X5,2014,High Price,sDrive35i RWD,$894 above avg. list price,"$20,997 ","91,094 miles",Dealer Discount Available,,"White exterior, Black interior","No accidents, 2 Owners, Personal use"
Nissan NV200 Compact Cargo,2015,High Price,SV,$238 above avg. list price,"$15,000 ","157,000 miles",,,"White exterior, Gray interior","No accidents, 3 Owners, Personal use"
