truncate,Year,Price_Level,Like,textsm__divcontains_class_truncate,Price,Mileage,Discount,Certification,Color,Circumstance
Mercedes-Benz GLC,2019,Great Price,GLC 300 RWD,$606 off avg. list price,"$31,891 ","29,053 miles",,Certified Pre-Owned,"White exterior, Black interior","No accidents, 2 Owners, Personal use"
Kia Niro,2019,Excellent Price,Hybrid LX,$543 off avg. list price,"$17,995 ","119,571 miles",Dealer Discount Available,,"White exterior, Black interior","No accidents, 2 Owners, Personal use"
BMW M4,2021,Great Price,Coupe,"$2,043 off avg. list price","$72,966 ","12,692 miles",,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
HUMMER H2,2003,Excellent Price,SUV,$948 off avg. list price,"$13,998 ","161,339 miles",,,"Gray exterior, Beige interior","1 accident, 7 Owners, Fleet use"
Mazda CX-30,2021,Great Price,FWD,$279 off avg. list price,"$23,288 ","22,630 miles",,Certified Pre-Owned,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz GLE,2022,Great Price,GLE 350 RWD,$370 off avg. list price,"$59,189 ","5,660 miles",Dealer Discount Available,Certified Pre-Owned,"Silver exterior, Beige interior","No accidents, 1 Owner, Personal use"
Audi Q5,2014,Excellent Price,Premium 2.0T quattro,"$1,465 off avg. list price","$12,498 ","106,337 miles",,,"Black exterior, Black interior","No accidents, 2 Owners, Personal use"
Kia Optima,2017,Great Price,Hybrid EX,$150 off avg. list price,"$19,495 ","61,912 miles",Dealer Discount Available,,"White exterior, Black interior","No accidents, 2 Owners, Fleet use"
Mercedes-Benz GLE,2020,Great Price,GLE 350 RWD,"$1,185 off avg. list price","$43,894 ","57,956 miles",,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Chevrolet Tahoe,2016,Great Price,LS RWD,$94 off avg. list price,"$21,987 ","125,602 miles",,,"White exterior, Black interior","1 accident, 2 Owners, Personal use"
Mercedes-Benz GLC,2019,Great Price,GLC 300 RWD,$606 off avg. list price,"$31,891 ","27,309 miles",,Certified Pre-Owned,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz GLA,2020,Excellent Price,GLA 250 FWD,"$1,143 off avg. list price","$30,893 ","8,923 miles",,,"Black exterior, Gray interior","No accidents, 1 Owner, Personal use"
Hyundai Sonata,2012,Excellent Price,GLS 2.4L Automatic (PZEV),$600 off avg. list price,"$7,498 ","110,703 miles",,,"Silver exterior, Gray interior","2 accidents, 3 Owners, Fleet use"
Honda Civic,2020,Excellent Price,Sport Sedan CVT,$874 off avg. list price,"$22,998 ","23,579 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz GLC,2019,Fair Price,GLC 300 RWD,At or near avg. list price,"$33,424 ","31,655 miles",Dealer Discount Available,Certified Pre-Owned,"Silver exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz A-Class,2019,Excellent Price,A 220 FWD,"$1,040 off avg. list price","$28,892 ","30,251 miles",,Certified Pre-Owned,"Silver exterior, Black interior","No accidents, 1 Owner, Personal use"
Ford Fusion,2019,Excellent Price,Energi Titanium FWD,$920 off avg. list price,"$19,998 ","91,135 miles",,,"White exterior, Brown interior","No accidents, 1 Owner, Personal use"
Toyota Camry,2012,Excellent Price,SE V6 Automatic,$885 off avg. list price,"$14,998 ","115,938 miles",,,"Gray exterior, Gray interior","No accidents, 1 Owner, Personal use"
Hyundai Veloster,2020,Great Price,2.0 Premium Automatic,$385 off avg. list price,"$21,995 ","16,650 miles",Dealer Discount Available,Certified Pre-Owned,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Tesla Model Y,2020,Great Price,Long Range Dual Motor AWD,$948 off avg. list price,"$54,350 ","23,100 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Hyundai Sonata,2018,Fair Price,Limited 2.4L (PZEV),At or near avg. list price,"$16,995 ","88,751 miles",Dealer Discount Available,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Lexus ES,2010,Excellent Price,ES 350,$646 off avg. list price,"$8,998 ","159,912 miles",,,"Silver exterior, Gray interior","No accidents, 3 Owners, Personal use"
Chevrolet Traverse,2020,Excellent Price,LT Leather FWD,"$1,116 off avg. list price","$30,995 ","31,294 miles",Dealer Discount Available,,"Blue exterior, Black interior","No accidents, 1 Owner, Personal use"
Audi S4,2019,Great Price,Premium Plus,$492 off avg. list price,"$40,984 ","35,298 miles",,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz GLE,2016,Great Price,GLE 450 AMG Coupe 4MATIC,$267 off avg. list price,"$40,897 ","73,125 miles",,,"Gray exterior, Gray interior","No accidents, 2 Owners, Personal use"
Porsche Macan,2020,Great Price,AWD,$159 off avg. list price,"$39,963 ","60,917 miles",,,"Silver exterior, Black interior","No accidents, 1 Owner, Personal use"
Honda Civic,2021,Excellent Price,LX Sedan CVT,$816 off avg. list price,"$23,998 ","17,038 miles",,,"Gray exterior, Gray interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz GLE,2020,Great Price,GLE 350 4MATIC,$737 off avg. list price,"$44,685 ","40,910 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Porsche Cayenne,2016,Great Price,Turbo AWD,$994 off avg. list price,"$61,987 ","28,990 miles",,,"White exterior, Black interior","No accidents, 2 Owners, Personal use"
BMW 7 Series,2022,Great Price,750i xDrive,$501 off avg. list price,"$91,987 ","4,100 miles",,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
GMC Sierra 2500HD,2021,Great Price,Denali Crew Cab Standard Bed 4WD,$304 off avg. list price,"$75,963 ","17,712 miles",,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Tesla Model 3,2018,Excellent Price,Long Range RWD,"$1,232 off avg. list price","$38,499 ","47,779 miles",,,"White exterior, Black interior","1 accident, 1 Owner, Personal use"
Mercedes-Benz GLC,2019,Great Price,GLC 300 RWD,$615 off avg. list price,"$29,999 ","45,990 miles",,,"White exterior, Unknown interior","No accidents, 1 Owner, Personal use"
Jeep Grand Cherokee,2006,Excellent Price,Limited RWD,$814 off avg. list price,"$6,999 ","94,704 miles",Dealer Discount Available,,"White exterior, Gray interior","No accidents, 2 Owners, Personal use"
Mercedes-Benz GLB,2022,Great Price,GLB 250 FWD,$902 off avg. list price,"$42,405 ","3,964 miles",,,"Silver exterior, Black interior","No accidents, 1 Owner, Personal use"
Honda Odyssey,2019,Excellent Price,EX,$958 off avg. list price,"$30,892 ","22,795 miles",,,"Black exterior, Brown interior","No accidents, 1 Owner, Personal use"
Toyota Prius,2017,Great Price,Two,$556 off avg. list price,"$22,866 ","68,699 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Toyota 4Runner,2022,Excellent Price,TRD Sport RWD,"$1,968 off avg. list price","$40,998 ","10,267 miles",,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
BMW 3 Series,2020,Great Price,330i RWD,$102 off avg. list price,"$32,987 ","19,072 miles",,,"Red exterior, Black interior","No accidents, 1 Owner, Personal use"
Toyota Camry,2019,Excellent Price,SE Automatic,$847 off avg. list price,"$22,885 ","35,165 miles",,,"Gray exterior, Black interior","1 accident, 1 Owner, Personal use"
Subaru Impreza,2019,Great Price,2.0i 4-door CVT,$36 off avg. list price,"$20,985 ","19,893 miles",,,"White exterior, Black interior","No accidents, 2 Owners, Personal use"
Cadillac Escalade,2007,Great Price,ESV AWD,$64 off avg. list price,"$11,524 ","149,799 miles",,,"White exterior, Beige interior","No accidents, 4 Owners, Personal use"
Audi Q7,2019,Great Price,Prestige 3.0,$19 off avg. list price,"$44,991 ","31,378 miles",,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Audi A4,2018,Great Price,Premium Plus quattro S tronic,$230 off avg. list price,"$24,963 ","62,176 miles",,,"Blue exterior, Brown interior","No accidents, 4 Owners, Personal use"
Mercedes-Benz S-Class,2022,Excellent Price,S 580 4MATIC,"$5,016 off avg. list price","$112,894 ","5,268 miles",,Certified Pre-Owned,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Honda Civic,2019,Fair Price,LX Sedan CVT,At or near avg. list price,"$22,495 ","24,980 miles",,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Subaru Impreza,2017,Great Price,2.0i Sport 4-door CVT,$509 off avg. list price,"$18,996 ","58,882 miles",,,"Red exterior, Black interior","No accidents, 3 Owners, Personal use"
Toyota Corolla,2020,Excellent Price,SE CVT,"$2,264 off avg. list price","$17,999 ","58,269 miles",Dealer Discount Available,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Chevrolet Traverse,2020,Great Price,LT Cloth with 1LT FWD,$310 off avg. list price,"$30,995 ","25,675 miles",Dealer Discount Available,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Nissan Rogue,2018,Excellent Price,SL FWD,"$1,037 off avg. list price","$17,799 ","82,514 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Chevrolet Malibu,2020,Great Price,LT,$279 off avg. list price,"$21,499 ","23,616 miles",,,"White exterior, Gray interior","1 accident, 2 Owners, Fleet use"
Lexus CT,2015,Excellent Price,CT 200h,$585 off avg. list price,"$15,000 ","136,425 miles",,,"Blue exterior, Unknown interior","No accidents, 3 Owners, Personal use"
Mercedes-Benz C-Class,2012,Excellent Price,C 300 4MATIC Sport Sedan,$780 off avg. list price,"$7,998 ","154,639 miles",,,"Silver exterior, Black interior","No accidents, 4 Owners, Personal use"
Toyota Mirai,2019,Excellent Price,Sedan,$813 off avg. list price,"$15,199 ","37,289 miles",,,"Blue exterior, Blue interior","1 accident, 1 Owner, Fleet use"
Mercedes-Benz C-Class,2015,Excellent Price,C 250 Coupe RWD,"$1,153 off avg. list price","$15,998 ","62,902 miles",,,"White exterior, Beige interior","1 accident, 2 Owners, Personal use"
Jeep Renegade,2017,Excellent Price,Latitude FWD,$609 off avg. list price,"$10,790 ","144,347 miles",,,"Silver exterior, Black interior","No accidents, 3 Owners, Fleet use"
Mazda CX-5,2019,Great Price,Touring FWD,$364 off avg. list price,"$25,998 ","27,797 miles",,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Lexus RX,2019,Excellent Price,RX 350 AWD,"$2,076 off avg. list price","$34,599 ","35,210 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Subaru Outback,2019,Excellent Price,2.5i,"$1,269 off avg. list price","$21,498 ","48,576 miles",,,"Black exterior, Gray interior","1 accident, 1 Owner, Fleet use"
Hyundai Elantra,2013,Great Price,GLS Sedan Automatic,$278 off avg. list price,"$9,300 ","109,204 miles",,,"Silver exterior, Gray interior","No accidents, 2 Owners, Fleet use"
Mercedes-Benz GLC,2022,Great Price,GLC 300 SUV RWD,$294 off avg. list price,"$46,000 ","8,915 miles",,,"Blue exterior, Beige interior","No accidents, 1 Owner, Personal use"
Tesla Model 3,2022,Great Price,Long Range AWD,$941 off avg. list price,"$57,120 ","5,110 miles",,,"White exterior, Unknown interior","No accidents, 1 Owner, Personal use"
Acura MDX,2020,Great Price,FWD with Technology Package,$872 off avg. list price,"$34,893 ","39,797 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz GLA,2020,Fair Price,GLA 250 4MATIC,At or near avg. list price,"$33,759 ","9,605 miles",Dealer Discount Available,Certified Pre-Owned,"Black exterior, Beige interior","No accidents, 1 Owner, Personal use"
Tesla Model S,2018,Great Price,75D,"$1,524 off avg. list price","$55,500 ","22,136 miles",,,"Silver exterior, Unknown interior","No accidents, 1 Owner, Personal use"
BMW 5 Series,2018,Excellent Price,540i RWD,"$1,327 off avg. list price","$34,998 ","40,390 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Chevrolet Volt,2013,Excellent Price,Hatch,$534 off avg. list price,"$9,998 ","116,012 miles",,,"Gray exterior, Black interior","No accidents, 2 Owners, Fleet use"
Mercedes-Benz GLC,2022,Great Price,GLC 300 SUV RWD,$90 off avg. list price,"$46,900 ","8,976 miles",,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Dodge Grand Caravan,2016,Excellent Price,SXT,$539 off avg. list price,"$8,998 ","120,138 miles",,,"White exterior, Black interior","1 accident, 2 Owners, Personal use"
Honda Civic,2015,Excellent Price,EX Sedan CVT,$583 off avg. list price,"$10,998 ","113,171 miles",,,"Black exterior, Black interior","No accidents, 2 Owners, Fleet use"
Chevrolet Equinox,2018,Excellent Price,LT with 1LT FWD,$600 off avg. list price,"$12,638 ","127,053 miles",,,"Silver exterior, Black interior","No accidents, 2 Owners, Personal use"
Mercedes-Benz GLB,2021,Excellent Price,GLB 250,"$1,254 off avg. list price","$36,890 ","11,967 miles",,,"Gray exterior, Beige interior","No accidents, 1 Owner, Personal use"
Mazda CX-5,2019,Great Price,Grand Touring FWD,$650 off avg. list price,"$25,998 ","32,759 miles",,,"Red exterior, Beige interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz C-Class,2019,Great Price,C 300 Sedan RWD,$415 off avg. list price,"$31,893 ","28,078 miles",,Certified Pre-Owned,"Silver exterior, Gray interior","No accidents, 2 Owners, Personal use"
Lexus CT,2013,Excellent Price,CT 200h,$625 off avg. list price,"$13,998 ","131,469 miles",,,"Black exterior, Black interior","No accidents, 3 Owners, Fleet use"
Tesla Model 3,2018,Great Price,Mid Range RWD,"$1,099 off avg. list price","$37,890 ","30,797 miles",,,"Silver exterior, White interior","No accidents, 2 Owners, Personal use"
Tesla Model 3,2022,Excellent Price,Long Range AWD,"$3,665 off avg. list price","$46,300 ","6,200 miles",,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Toyota Tundra,2020,Great Price,SR5 CrewMax 5.5' Bed 5.7L 4WD,"$1,272 off avg. list price","$43,500 ","20,350 miles",,,"Silver exterior, Black interior","No accidents, 1 Owner, Personal use"
Toyota Sienna,2016,Great Price,SE Premium 8-Passenger FWD,$207 off avg. list price,"$22,963 ","111,558 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Mazda Mazda3,2020,Great Price,Preferred 5-Door FWD Automatic,$251 off avg. list price,"$24,880 ","10,118 miles",,Certified Pre-Owned,"Black exterior, Gray interior","No accidents, 1 Owner, Personal use"
BMW 3 Series,2014,Excellent Price,328i Sedan (SULEV),$735 off avg. list price,"$20,998 ","34,107 miles",,,"Silver exterior, Black interior","No accidents, 1 Owner, Personal use"
Maserati Levante,2022,Great Price,Modena 3.0L,"$1,207 off avg. list price","$79,984 ","8,059 miles",,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Honda Accord,2020,Great Price,LX 1.5T CVT,$672 off avg. list price,"$23,299 ","38,351 miles",,,"White exterior, Black interior","1 accident, 1 Owner, Personal use"
Mazda CX-5,2019,Fair Price,Grand Touring Reserve AWD,At or near avg. list price,"$29,414 ","33,314 miles",,Certified Pre-Owned,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Honda Civic,2020,Great Price,LX Sedan CVT,$433 off avg. list price,"$22,899 ","12,421 miles",,,"Gray exterior, Gray interior","No accidents, 1 Owner, Personal use"
Nissan Kicks,2018,Great Price,S,$126 off avg. list price,"$17,860 ","41,620 miles",Dealer Discount Available,,"Silver exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz GLB,2022,Great Price,GLB 250 FWD,$535 off avg. list price,"$43,205 ","6,025 miles",,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Ford Bronco,2022,Fair Price,Big Bend 4 Door 4WD,At or near avg. list price,"$49,963 ",381 miles,,,"Black exterior, Gray interior","No accidents, 0 Owners, Personal use"
Toyota Camry,2019,Excellent Price,LE Automatic,"$2,227 off avg. list price","$16,999 ","71,644 miles",Dealer Discount Available,,"White exterior, Gray interior","No accidents, 1 Owner, Personal use"
Honda Accord,2020,Great Price,LX 1.5T CVT,$600 off avg. list price,"$24,250 ","23,800 miles",,,"Black exterior, Gray interior","No accidents, 1 Owner, Personal use"
Hyundai Veloster,2019,Great Price,Turbo Ultimate DCT,$311 off avg. list price,"$22,995 ","47,558 miles",Dealer Discount Available,Certified Pre-Owned,"Gray exterior, Unknown interior","No accidents, 1 Owner, Personal use"
Jeep Grand Cherokee,2018,Great Price,Altitude RWD,$608 off avg. list price,"$21,455 ","93,501 miles",,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Toyota Tacoma,2022,Great Price,TRD Sport Double Cab 5' Bed V6 2WD Automatic,$692 off avg. list price,"$38,250 ","1,491 miles",,Certified Pre-Owned,"Black exterior, Gray interior","No accidents, 0 Owners, Personal use"
Toyota Land Cruiser,2004,Excellent Price,4WD,$955 off avg. list price,"$19,100 ","166,437 miles",,,"Black exterior, Unknown interior","No accidents, 2 Owners, Personal use"
